Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,2/21/2020,1643,N876UA,ORD,23:51,23:44,106,96,-7,23:41,3,0,0,0,0,0,2020-02-21,-5.9,-11.0,3.3,0.0,0.0,226.0,20.5,,1033.2,
UA,2/21/2022,1094,N836UA,ORD,20:59,20:40,109,100,-19,20:36,4,0,0,0,0,0,2022-02-21,4.2,0.0,8.9,0.0,0.0,34.0,12.6,,1013.4,
UA,2/21/2022,1200,N811UA,DEN,15:09,14:54,199,181,-15,14:49,5,0,0,0,0,0,2022-02-21,4.2,-16.6,12.8,0.0,0.0,106.0,25.6,,1003.6,
UA,2/21/2022,1874,N69804,IAD,23:29,23:21,69,67,-8,23:17,4,0,0,0,0,0,2022-02-21,7.3,-2.1,19.4,0.0,0.0,174.0,12.2,,1025.5,
UA,2/22/2019,607,N836UA,ORD,21:20,21:46,105,88,26,21:41,5,0,0,0,0,26,2019-02-22,-1.9,-7.1,5.0,0.0,0.0,44.0,12.2,,1029.2,
UA,2/22/2020,617,N24736,ORD,21:19,23:28,109,95,129,23:25,3,0,0,1,0,128,2020-02-22,2.2,-2.1,10.6,0.0,0.0,213.0,22.0,,1022.2,
UA,2/22/2022,1094,N816UA,ORD,20:59,20:35,109,88,-24,20:30,5,0,0,0,0,0,2022-02-22,3.4,-4.9,6.7,22.1,0.0,359.0,19.4,,1009.9,
UA,2/22/2022,1200,N484UA,DEN,15:09,15:48,199,210,39,15:43,5,17,0,11,0,11,2022-02-22,-15.1,-19.3,-13.2,2.3,0.0,41.0,16.2,,1025.4,
UA,2/22/2022,1874,N62889,IAD,23:29,0:02,69,65,33,23:57,5,0,0,0,0,33,2022-02-22,12.5,5.0,18.3,1.0,0.0,182.0,20.5,,1020.3,
UA,2/23/2019,607,N831UA,ORD,21:20,21:15,105,105,-5,21:11,4,0,0,0,0,0,2019-02-23,2.0,1.1,11.7,19.1,0.0,91.0,16.6,,1011.2,
UA,2/23/2020,1643,N17730,ORD,21:19,0:15,109,99,176,0:11,4,23,0,0,0,153,2020-02-23,6.3,1.7,12.8,0.0,0.0,225.0,16.9,,1014.4,
UA,2/23/2022,1094,N422UA,ORD,20:59,20:33,109,86,-26,20:28,5,0,0,0,0,0,2022-02-23,-5.9,-9.3,-4.9,0.0,0.0,341.0,18.4,,1031.0,
UA,2/23/2022,1200,N819UA,DEN,15:09,14:51,199,173,-18,14:46,5,0,0,0,0,0,2022-02-23,-16.1,-21.6,-9.9,0.5,30.0,25.0,13.0,,1026.0,
UA,2/23/2022,1874,N69818,IAD,23:29,23:18,69,61,-11,23:13,5,0,0,0,0,0,2022-02-23,18.4,4.4,24.4,0.0,0.0,247.0,21.2,,1018.1,
UA,2/24/2019,607,N448UA,ORD,21:20,21:20,105,110,0,21:14,6,0,0,0,0,0,2019-02-24,3.0,-12.1,10.0,0.5,0.0,253.0,39.2,,1003.3,
UA,2/24/2020,1643,N17730,ORD,21:19,21:02,109,102,-17,20:58,4,0,0,0,0,0,2020-02-24,5.2,1.7,6.1,0.0,0.0,25.0,19.8,,1012.1,
UA,2/24/2022,1094,N871UA,ORD,20:59,21:57,109,159,58,21:53,4,8,0,50,0,0,2022-02-24,-4.6,-6.0,-2.7,2.8,0.0,54.0,18.7,,1027.0,
UA,2/24/2022,1200,N828UA,DEN,15:09,14:56,199,175,-13,14:52,4,0,0,0,0,0,2022-02-24,-13.2,-16.0,-6.0,3.3,50.0,170.0,12.6,,1021.3,
UA,2/24/2022,1874,N69885,IAD,23:29,23:19,69,60,-10,23:15,4,0,0,0,0,0,2022-02-24,3.2,0.6,4.4,13.2,0.0,41.0,11.9,,1028.7,
UA,2/25/2019,607,N814UA,ORD,21:20,22:28,105,104,68,22:22,6,0,0,0,0,68,2019-02-25,-10.9,-14.3,-7.1,0.0,0.0,293.0,16.9,,1030.1,
