Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/23/2022,1998,N808UA,ORD,21:07,13:33,113,114,986,13:29,4,0,985,1,0,0,2022-12-23,-19.9,-22.1,-18.2,0.0,30.0,270.0,34.9,,1012.2,
UA,12/23/2022,2488,,EWR,23:14,0:00,75,0,0,0:00,0,0,0,0,0,0,2022-12-23,7.9,-12.7,14.4,32.0,0.0,210.0,34.9,,993.0,
UA,12/24/2021,467,N825UA,IAD,18:38,18:21,78,62,-17,18:17,4,0,0,0,0,0,2021-12-24,5.9,1.7,12.2,0.0,0.0,176.0,9.7,,1015.4,
UA,12/24/2022,604,N875UA,DEN,14:58,15:17,193,197,19,15:10,7,15,0,4,0,0,2022-12-24,-8.2,-16.6,10.0,0.0,80.0,186.0,11.9,,1027.6,
UA,12/24/2022,1998,N12754,ORD,21:08,22:04,113,136,56,21:26,38,0,11,23,0,22,2022-12-24,-15.8,-18.2,-9.9,0.0,30.0,272.0,29.5,,1014.1,
UA,12/24/2022,2488,N66897,EWR,23:26,5:46,75,71,380,5:41,5,91,0,0,0,289,2022-12-24,-11.4,-13.2,-8.2,0.0,0.0,252.0,32.4,,1009.7,
UA,12/25/2021,437,N23721,EWR,20:38,20:28,74,67,-10,20:24,4,0,0,0,0,0,2021-12-25,4.9,3.3,12.8,4.1,0.0,347.0,8.3,,1003.2,
UA,12/25/2021,2416,N465UA,IAD,23:10,23:20,70,62,10,23:16,4,0,0,0,0,0,2021-12-25,12.9,7.2,20.6,3.6,0.0,214.0,13.7,,1003.4,
UA,12/25/2022,604,N828UA,DEN,14:58,15:30,193,191,32,15:25,5,32,0,0,0,0,2022-12-25,2.3,-2.7,9.4,0.0,50.0,252.0,17.3,,1019.2,
UA,12/25/2022,2488,,EWR,23:14,0:00,75,0,0,0:00,0,0,0,0,0,0,2022-12-25,-6.9,-9.9,-1.0,0.0,0.0,246.0,25.6,,1013.9,
